Datetime,Open,High,Low,Close,Volume
2020-07-15 12:00:00+00:00,9219.22,9247.6,9211.99,9245.46,1906.552729
2020-07-15 13:00:00+00:00,9245.46,9246.82,9218.47,9229.15,1880.989362
2020-07-15 14:00:00+00:00,9229.14,9244.65,9221.39,9242.47,2132.318886
2020-07-15 15:00:00+00:00,9242.46,9248.0,9197.0,9204.98,3132.66183
2020-07-15 16:00:00+00:00,9204.98,9215.43,9186.57,9211.37,1969.922731
2020-07-15 17:00:00+00:00,9211.36,9225.06,9204.91,9206.84,1152.26804
2020-07-15 18:00:00+00:00,9206.84,9219.64,9160.57,9186.71,2047.995909
2020-07-15 19:00:00+00:00,9186.71,9199.56,9167.03,9185.46,1953.468156
2020-07-15 20:00:00+00:00,9185.46,9223.32,9179.06,9219.48,1269.940488
2020-07-15 21:00:00+00:00,9219.48,9237.27,9205.2,9231.78,1591.669702
2020-07-15 22:00:00+00:00,9231.78,9234.17,9206.32,9206.32,1088.948752
2020-07-15 23:00:00+00:00,9206.32,9214.24,9188.88,9197.6,1377.828024
2020-07-16 00:00:00+00:00,9197.6,9219.0,9177.77,9213.54,1302.126374
2020-07-16 01:00:00+00:00,9213.55,9222.64,9206.85,9221.6,934.909855
2020-07-16 02:00:00+00:00,9221.61,9226.15,9200.0,9200.99,865.50422
2020-07-16 03:00:00+00:00,9200.99,9206.79,9192.0,9203.59,1005.767441
2020-07-16 04:00:00+00:00,9203.58,9216.82,9202.15,9204.01,995.856078
2020-07-16 05:00:00+00:00,9204.01,9210.0,9190.62,9199.02,1226.267097
2020-07-16 06:00:00+00:00,9199.02,9208.0,9151.99,9177.11,2143.947229
2020-07-16 07:00:00+00:00,9177.11,9177.47,9084.0,9123.69,5280.654514
2020-07-16 08:00:00+00:00,9123.69,9140.0,9101.5,9123.01,2197.568149
2020-07-16 09:00:00+00:00,9123.02,9123.02,9053.0,9069.98,4466.105423
2020-07-16 10:00:00+00:00,9069.96,9100.0,9047.25,9100.0,3348.731133
2020-07-16 11:00:00+00:00,9100.0,9109.0,9078.7,9081.61,1810.620356
2020-07-16 12:00:00+00:00,9081.62,9105.75,9078.91,9080.0,1531.350027
2020-07-16 13:00:00+00:00,9080.0,9098.24,9069.31,9082.66,1825.552794
2020-07-16 14:00:00+00:00,9082.67,9120.0,9069.99,9110.64,2085.892741
2020-07-16 15:00:00+00:00,9110.64,9130.1,9099.76,9125.26,1857.977283
2020-07-16 16:00:00+00:00,9125.25,9143.65,9112.09,9116.56,1939.029996
2020-07-16 17:00:00+00:00,9116.55,9137.0,9115.05,9125.21,1580.533885
2020-07-16 18:00:00+00:00,9125.21,9153.0,9121.0,9125.19,1627.525423
2020-07-16 19:00:00+00:00,9125.19,9131.59,9120.27,9126.13,1078.596795
2020-07-16 20:00:00+00:00,9126.13,9133.0,9091.1,9111.19,1467.411929
2020-07-16 21:00:00+00:00,9111.22,9137.41,9111.22,9126.11,766.087919
2020-07-16 22:00:00+00:00,9126.1,9146.35,9126.1,9138.13,907.883346
2020-07-16 23:00:00+00:00,9138.13,9147.9,9127.21,9133.72,1129.671184
2020-07-17 00:00:00+00:00,9133.72,9142.06,9114.83,9117.47,991.881659
2020-07-17 01:00:00+00:00,9117.47,9140.0,9116.15,9118.05,889.918051
2020-07-17 02:00:00+00:00,9118.05,9135.0,9115.01,9123.85,867.150514
2020-07-17 03:00:00+00:00,9123.86,9126.0,9105.11,9119.81,768.732027
2020-07-17 04:00:00+00:00,9119.81,9125.88,9105.39,9115.95,993.421167
2020-07-17 05:00:00+00:00,9115.95,9122.02,9089.81,9102.39,1594.534178
2020-07-17 06:00:00+00:00,9102.39,9133.93,9102.38,9121.64,1273.792591
